step,loss,lr,wall_s
100,0.14,1.5e-05,48.49926951387897
200,0.126,4.5e-05,72.64270187099464
300,0.106,7.5e-05,96.87290656287223
400,0.099,9.8e-05,121.2341643909458
500,0.099,0.0001,145.46134459599853
600,0.097,9.9e-05,171.54903897386976
700,0.096,9.9e-05,199.0515136809554
800,0.093,9.9e-05,226.59252999792807
900,0.092,9.8e-05,254.47632569097914
1000,0.092,9.8e-05,282.0550121869892
1000,0.089,9.7e-05,309.68930572783574
1000,0.09,9.7e-05,337.6966844620183
1000,0.088,9.6e-05,365.4922119870316
1000,0.087,9.6e-05,393.59366791299544
2000,0.087,9.5e-05,421.6529572058935
2000,0.087,9.4e-05,449.6860610069707
2000,0.086,9.4e-05,477.72693599690683
2000,0.086,9.3e-05,505.9662675380241
2000,0.082,9.2e-05,534.1972583460156
2000,0.086,9.1e-05,562.0945558820385
2000,0.085,9e-05,589.9990557709243
2000,0.084,8.9e-05,617.9337360009085
2000,0.084,8.8e-05,646.4459454228636
2000,0.083,8.7e-05,673.8832925169263
2000,0.082,8.6e-05,701.7531195029151
3000,0.082,8.5e-05,729.2029842329212
3000,0.081,8.4e-05,757.025408698013
3000,0.083,8.3e-05,785.2801301109139
3000,0.083,8.2e-05,813.4901307208929
3000,0.08,8.1e-05,840.7977935578674
3000,0.077,7.9e-05,868.4059508009814
3000,0.081,7.8e-05,896.0808719289489
3000,0.082,7.7e-05,923.4840062260628
3000,0.078,7.5e-05,950.8657821749803
4000,0.079,7.4e-05,978.5725921150297
4000,0.08,7.3e-05,1006.2363684298471
4000,0.077,7.1e-05,1033.8343493950088
4000,0.078,7e-05,1061.334332154831
4000,0.078,6.8e-05,1089.0582471138332
4000,0.078,6.7e-05,1116.8946965469513
4000,0.075,6.6e-05,1144.2043850349728
4000,0.076,6.4e-05,1171.5939451709855
4000,0.079,6.3e-05,1198.8779371748678
4000,0.076,6.1e-05,1226.2807892088313
4000,0.077,6e-05,1253.6960871890187
5000,0.076,5.8e-05,1282.0741055610124
5000,0.077,5.7e-05,1309.7563084028661
5000,0.076,5.5e-05,1337.6001128540374
5000,0.074,5.4e-05,1365.5314871089067
5000,0.077,5.2e-05,1393.5904661749955
5000,0.075,5e-05,1421.42206570087
5000,0.074,4.9e-05,1450.1516376070213
5000,0.077,4.7e-05,1477.7087454388384
5000,0.074,4.6e-05,1505.193113122834
6000,0.074,4.4e-05,1532.7126671129372
6000,0.073,4.3e-05,1560.2745571369305
6000,0.074,4.1e-05,1587.0933490558527
6000,0.074,4e-05,1615.2195232929662
6000,0.075,3.8e-05,1642.866712616058
6000,0.074,3.7e-05,1670.8682582268957
6000,0.075,3.5e-05,1698.8932289490476
6000,0.072,3.4e-05,1726.9897012289148
6000,0.073,3.3e-05,1755.3423726109322
6000,0.075,3.1e-05,1782.968876666855
6000,0.073,3e-05,1810.9564435409848
7000,0.074,2.8e-05,1838.524933872046
7000,0.073,2.7e-05,1866.45404782705
7000,0.071,2.6e-05,1894.2484881030396
7000,0.073,2.4e-05,1921.8813649129588
7000,0.072,2.3e-05,1949.5398556238506
7000,0.073,2.2e-05,1977.2686450290494
7000,0.069,2.1e-05,2004.870473530842
7000,0.074,2e-05,2032.6283399148379
7000,0.075,1.8e-05,2060.456698665861
8000,0.074,1.7e-05,2088.9547437939327
8000,0.072,1.6e-05,2117.028494589962
8000,0.071,1.5e-05,2144.8170041048434
8000,0.075,1.4e-05,2172.769239526009
8000,0.07,1.3e-05,2200.3668336309493
8000,0.071,1.2e-05,2228.681040558964
8000,0.071,1.1e-05,2256.1007433580235
8000,0.073,1.1e-05,2284.056691753911
8000,0.074,9.7e-06,2311.804958850844
8000,0.069,8.9e-06,2339.497706633061
8000,0.073,8.2e-06,2367.080389959039
9000,0.072,7.5e-06,2395.380437433021
9000,0.073,6.8e-06,2423.0231837239116
9000,0.072,6.2e-06,2450.6154274649452
9000,0.073,5.6e-06,2478.2871759380214
9000,0.073,5.1e-06,2505.7086148478556
9000,0.07,4.7e-06,2533.256591209909
9000,0.071,4.2e-06,2561.3512478368357
9000,0.072,3.8e-06,2589.598793817917
9000,0.069,3.5e-06,2617.3666323518846
10000,0.07,3.2e-06,2645.385409062961
10000,0.071,3e-06,2673.113103406038
10000,0.071,2.8e-06,2701.6098556409124
10000,0.072,2.7e-06,2729.2782106879167
10000,0.073,2.6e-06,2757.3138223730493
10000,0.073,2.5e-06,2785.4204527318943
