step,loss,lr,wall_s
100,0.142,1.5e-05,178.98489731596783
200,0.117,4.5e-05,333.27295719110407
300,0.102,7.5e-05,487.3061858539004
400,0.096,9.8e-05,646.4768270389177
500,0.092,0.0001,800.4689135761
600,0.089,9.9e-05,957.6350317068864
700,0.087,9.9e-05,1110.385199792916
800,0.087,9.9e-05,1268.0901053610723
900,0.085,9.8e-05,1422.4567972789519
1000,0.083,9.8e-05,1576.7856809329242
1000,0.083,9.7e-05,1729.943034013966
1000,0.081,9.7e-05,1887.3588480339386
1000,0.081,9.6e-05,2040.9645555838943
1000,0.079,9.6e-05,2194.0304305900354
2000,0.08,9.5e-05,2347.376173266908
2000,0.077,9.4e-05,2505.300600952003
2000,0.078,9.4e-05,2658.9333563689142
2000,0.076,9.3e-05,2812.571502669947
2000,0.076,9.2e-05,2966.021291520912
2000,0.075,9.1e-05,3127.651559784077
2000,0.074,9e-05,3281.4636294199154
2000,0.073,8.9e-05,3435.4231710000895
2000,0.073,8.8e-05,3593.366316039115
2000,0.072,8.7e-05,3746.7053722289857
2000,0.073,8.6e-05,3900.8262410468888
3000,0.071,8.5e-05,4054.145534211071
3000,0.07,8.4e-05,4211.473221496912
3000,0.07,8.3e-05,4364.31451922399
3000,0.07,8.2e-05,4517.970413418021
3000,0.068,8.1e-05,4671.356099765981
3000,0.068,7.9e-05,4828.526361508993
3000,0.068,7.8e-05,4983.085485768039
3000,0.067,7.7e-05,5137.968294763938
3000,0.066,7.5e-05,5325.0872532669455
4000,0.066,7.4e-05,5519.713330860948
4000,0.066,7.3e-05,5709.647053482011
4000,0.066,7.1e-05,5896.488515446894
4000,0.065,7e-05,6082.993484243983
4000,0.065,6.8e-05,6282.629770765081
4000,0.064,6.7e-05,6471.912959319074
4000,0.063,6.6e-05,6662.840830317
4000,0.064,6.4e-05,6853.667601553956
4000,0.064,6.3e-05,7042.671461167047
4000,0.062,6.1e-05,7228.372461641906
4000,0.063,6e-05,7420.532527029049
5000,0.062,5.8e-05,7617.76637851703
5000,0.063,5.7e-05,7803.685395007022
5000,0.061,5.5e-05,7991.067473605974
5000,0.062,5.4e-05,8188.237677559955
5000,0.06,5.2e-05,8376.122679007938
5000,0.061,5e-05,8567.876209907932
5000,0.06,4.9e-05,8754.911763430107
5000,0.061,4.7e-05,8946.16153551708
5000,0.06,4.6e-05,9137.758701981977
6000,0.06,4.4e-05,9329.881244170014
6000,0.059,4.3e-05,9516.097211126005
6000,0.059,4.1e-05,9698.938562816009
6000,0.059,4e-05,9894.4872167781
6000,0.059,3.8e-05,10080.473084501922
6000,0.058,3.7e-05,10274.621981797973
6000,0.058,3.5e-05,10466.00154087809
6000,0.058,3.4e-05,10650.019608522067
6000,0.058,3.3e-05,10838.556374649052
6000,0.058,3.1e-05,11033.803002329078
6000,0.059,3e-05,11226.673268558923
7000,0.057,2.8e-05,11418.15431375592
7000,0.058,2.7e-05,11609.216392681934
7000,0.058,2.6e-05,11800.270849261899
7000,0.058,2.4e-05,11994.089478588896
7000,0.057,2.3e-05,12193.673368337099
7000,0.057,2.2e-05,12384.83374664397
7000,0.057,2.1e-05,12578.820164832054
7000,0.057,2e-05,12772.337204334093
7000,0.057,1.8e-05,12958.13474488305
8000,0.056,1.7e-05,13153.291221413994
8000,0.057,1.6e-05,13337.469867503969
8000,0.057,1.5e-05,13541.774625845952
8000,0.056,1.4e-05,13727.66228970699
8000,0.056,1.3e-05,13916.152642589994
8000,0.056,1.2e-05,14104.691482895985
8000,0.056,1.1e-05,14299.505568987923
8000,0.056,1.1e-05,14490.005538207944
8000,0.056,9.7e-06,14677.918034635019
8000,0.056,8.9e-06,14867.506451783935
8000,0.056,8.2e-06,15053.357990154997
9000,0.056,7.5e-06,15242.585621888982
9000,0.056,6.8e-06,15432.28101401194
9000,0.055,6.2e-06,15626.044341451954
9000,0.057,5.6e-06,15814.784572337056
9000,0.055,5.1e-06,16002.79537061206
9000,0.056,4.7e-06,16191.55017992598
9000,0.056,4.2e-06,16383.203208819963
9000,0.056,3.8e-06,16578.593157276046
9000,0.056,3.5e-06,16769.876419937937
10000,0.055,3.2e-06,16940.917466978077
10000,0.056,3e-06,17100.63067644299
10000,0.056,2.8e-06,17253.644011595054
10000,0.056,2.7e-06,17407.302597786067
10000,0.055,2.6e-06,17565.482281706994
10000,0.056,2.5e-06,17719.60985132004
